Actual Density,Mean D between Robots,Num Robots,Mean SDE,Min SDE,Max SDE,SDE Range
0.62822485,48.821774,4,1.7,1.4000001,2.6000001,1.2
3.7551157,36.658688,2,1,1,1,0
0.42369324,49.16725,6,2.0333335,1.2,2.8000002,1.6000001
0.8808607,44.355064,5,2.9333334,1.6,3.8000002,2.2000003
6.4203615,66.84615,2,1,1,1,0
0.76026434,55.779938,3,1.4,1.2,1.8000001,0.6
0.6585974,47.600708,4,1.7,1.4000001,2.6000001,1.2
3.9049652,36.54314,2,1,1,1,0
0.4041274,48.663498,6,2.0333335,1.2,2.8000002,1.6000001
0.8689599,68.21784,2,0.9,0.8,1,0.19999999
0.8615652,45.022697,5,2.9,1.6,3.7,2.1
0.7769511,55.294643,3,1.4,1.2,1.8000001,0.6
0.6954773,46.53781,4,1.7,1.4000001,2.6000001,1.2
4.0438275,36.47933,2,1,1,1,0
0.38919985,48.28895,6,2.0333335,1.2,2.8000002,1.6000001
1.0274801,63.43821,2,1,1,1,0
0.8323915,46.062893,5,2.9,1.6,3.7,2.1
0.64976734,52.631794,3,1.2666668,1,1.8000001,0.8000001
0.8122783,55.01956,3,1.4,1.2,1.8000001,0.6
0.6794074,47.040653,4,1.7,1.4000001,2.6000001,1.2
0.37958598,48.23357,6,2.0333335,1.2,2.8000002,1.6000001
1.2517636,58.53076,2,1,1,1,0
0.8025187,47.526543,5,2.9,1.6,3.7,2.1
0.7240553,51.25296,3,1.4000001,1.2,1.8000001,0.6
0.90217924,54.195267,3,1.4,1.2,1.8000001,0.6
0.7007463,46.438564,4,1.7,1.4000001,2.6000001,1.2
0.37244347,48.40863,6,2.0333335,1.2,2.8000002,1.6000001
1.5612351,54.365017,2,1,1,1,0
0.77140814,49.3206,5,2.9,1.6,3.7,2.1
0.80516267,50.51464,3,1.4000001,1.2,1.8000001,0.6
1.0042145,53.600845,3,1.4,1.2,1.8000001,0.6
0.69908977,47.352234,4,1.7,1.4000001,2.6000001,1.2
0.3644901,48.84726,6,2.0333335,1.2,2.8000002,1.6000001
2.0607438,49.36061,2,1,1,1,0
0.7354435,51.49585,5,2.9,1.6,3.7,2.1
0.9145025,49.610855,3,1.4000001,1.2,1.8000001,0.6
1.1507201,52.88433,3,1.4,1.2,1.8000001,0.6
0.705815,52.938168,4,2.0583334,1.4000001,2.7333333,1.3333333
0.6926306,45.22986,5,2.06,1.2,2.8000002,1.6000001
2.8549175,44.932636,2,1,1,1,0
0.68493384,47.251106,5,2.1733334,1.4000001,3,1.5999999
1.0633633,48.344093,3,1.4000001,1.2,1.8000001,0.6
1.3742236,51.9082,3,1.4,1.2,1.8000001,0.6
0.71821356,52.96434,4,2.0833333,1.4000001,2.7333333,1.3333333
0.7047935,45.20922,5,2.04,1.2,2.8000002,1.6000001
4.344347,41.374043,2,1,1,1,0
0.6302412,49.685463,5,2.1200001,1.4000001,2.8000002,1.4000001
1.2163018,47.21251,3,1.4000001,1.2,1.8000001,0.6
1.8499191,50.8858,3,1.4,1.2,1.8000001,0.6
0.71765465,53.41868,4,2.0833333,1.4000001,2.7333333,1.3333333
0.7052386,44.533955,5,2.0066667,1.2,2.7333333,1.5333333
8.058148,38.625134,2,1,1,1,0
0.5605325,52.238697,5,2.1200001,1.4000001,2.8000002,1.4000001
1.2410845,46.77362,3,1.4000001,1.2,1.8000001,0.6
2.72416,50.48263,3,1.4,1.2,1.8000001,0.6
0.7070795,54.134655,4,2.0833333,1.4000001,2.7333333,1.3333333
0.71210766,43.809307,5,2.0400002,1.2,2.8000002,1.6000001
25.598352,36.28952,2,1,1,1,0
0.5041889,55.056114,5,2.1200001,1.4000001,2.8000002,1.4000001
1.3007259,53.015537,3,1.9666667,1.9000001,2,0.099999905
4.532079,50.51822,3,1.4,1.2,1.8000001,0.6
0.7137064,54.45601,4,2.0833333,1.4000001,2.7333333,1.3333333
0.715583,43.126465,5,2.0400002,1.2,2.8000002,1.6000001
25.788544,32.86398,2,1,1,1,0
0.66240215,49.167965,4,1.7166667,1.4000001,2.6666667,1.2666667
1.3701452,51.154312,3,2,2,2,0
5.9125648,50.223396,3,1.4,1.2,1.8000001,0.6
0.72628754,54.761536,4,2.0833333,1.4000001,2.7333333,1.3333333
